timestamp,symbol,total_value,cash_balance,position_value,current_price
2026-05-14T05:49:08.395031,BTC/USD,999.91,990.23,9.68,79458.6
2026-05-14T06:03:04.251642,BTC/USD,999.92,990.23,9.69,79542.74
2026-05-14T06:15:20.786628,BTC/USD,999.91,990.23,9.68,79449.99
2026-05-14T06:26:20.623173,BTC/USD,999.89,999.89,0.0,79347.25
2026-05-14T06:31:24.687004,BTC/USD,999.89,999.89,0.0,79330.0
2026-05-14T06:32:01.684330,BTC/USD,999.89,999.89,0.0,79330.43
2026-05-14T06:36:28.661224,BTC/USD,999.89,999.89,0.0,79251.75
2026-05-14T06:37:05.804499,BTC/USD,999.89,999.89,0.0,79302.77
2026-05-14T06:41:32.868363,BTC/USD,999.89,999.89,0.0,79315.36
2026-05-14T06:42:09.950935,BTC/USD,999.89,999.89,0.0,79309.31
2026-05-14T06:46:36.734322,BTC/USD,999.89,999.89,0.0,79235.3
2026-05-14T06:47:14.247818,BTC/USD,999.89,999.89,0.0,79218.89
2026-05-14T06:51:40.692226,BTC/USD,999.89,999.89,0.0,79250.02
2026-05-14T06:52:18.071160,BTC/USD,999.89,999.89,0.0,79248.36
2026-05-14T06:56:44.920177,BTC/USD,999.89,999.89,0.0,79285.84
2026-05-14T06:57:22.352193,BTC/USD,999.89,999.89,0.0,79267.26
2026-05-14T07:01:49.025039,BTC/USD,999.89,999.89,0.0,79264.43
2026-05-14T07:02:26.362865,BTC/USD,999.89,999.89,0.0,79257.02
2026-05-14T07:03:40.754941,BTC/USD,999.89,999.89,0.0,79289.83
2026-05-14T07:03:40.969084,SOL/USD,1000.0,1000,0.0,90.65
2026-05-14T07:06:53.296191,BTC/USD,999.89,999.89,0.0,79315.98
2026-05-14T07:06:53.471553,SOL/USD,1000.0,1000,0.0,90.79
2026-05-14T07:07:30.236824,BTC/USD,999.89,999.89,0.0,79292.77
2026-05-14T07:07:30.428105,SOL/USD,1000.0,1000,0.0,90.76
2026-05-14T07:11:58.045422,BTC/USD,999.89,999.89,0.0,79343.11
2026-05-14T07:11:58.343347,SOL/USD,1000.0,1000,0.0,90.86
2026-05-14T07:12:34.493006,BTC/USD,999.89,999.89,0.0,79311.24
2026-05-14T07:12:34.696491,SOL/USD,1000.0,1000,0.0,90.82
2026-05-14T07:17:02.308588,BTC/USD,999.89,999.89,0.0,79352.64
2026-05-14T07:17:02.497953,SOL/USD,1000.0,1000,0.0,90.88
2026-05-14T07:17:38.762502,BTC/USD,999.89,999.89,0.0,79322.0
2026-05-14T07:17:38.965089,SOL/USD,1000.0,1000,0.0,90.83
2026-05-14T07:18:10.439736,BTC/USD,999.89,999.89,0.0,79307.14
